class_index,review_text
2,deserve more from a vampire pic than a few shrieky special effects
4,the courage of New York 's finest and a nicely understated expression of the grief
2,the impetus
3,Though the film is well-intentioned
1,reworking to aim the film at young males in the throes of their first full flush of testosterone
1,bites hard .
3,nails hard
2,of white-on-black racism
2,easily substitutable
3,family comedy
2,American Pie hijinks
2,is still a no brainer
2,Hong Kong
3,Working from a surprisingly sensitive script co-written
2,you and they were in another movie
2,of bad behavior
2,concoctions
3,it 's awfully entertaining to watch .
1,makes a better short story
2,'s offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .
4,Nicholas Nickleby '' is a perfect family film to take everyone to since there 's no new `` A Christmas Carol '' out in the theaters this year .
1,frustrating and
2,the ferocity of a frozen burrito
2,is not that it 's all derivative
2,through 300 years of Russian history
3,Argentinian thriller
3,richly detailed
2,The Salton Sea
2,the selection
1,'s rarely as moronic as some campus gross-out films
3,of sweet-and-sour insider movie that film buffs will eat up like so much gelati
2,that you actually buy into
3,a thrill
4,a one-of-a-kind work
1,seem bound and determined to duplicate Bela Lugosi 's now-cliched vampire accent
2,you end up getting
3,on the economics of dealing and the pathology of ghetto fabulousness
2,go back and check out the last 10 minutes
3,into the nature of faith
1,newcomers may find themselves stifling a yawn or two during the first hour
2,intellectual exercise
1,of the discomfort and embarrassment of being a bumbling American in Europe
3,Those who do n't entirely ` get ' Godard 's distinctive discourse will still come away with a sense of his reserved but existential poignancy .
2,into the movie version of an adolescent dirty-joke book done up in post-Tarantino pop-culture riffs
2,have a single surprise up its sleeve
2,much of a story
2,as a Nike ad
1,relegated to a dark video store corner
2,that get him a few laughs but nothing else
2,the bombastic self-glorification
2,their act
3,the two-wrongs-make-a-right chemistry between Jolie and Burns
3,Earnhart 's film is more about the optimism of a group of people who are struggling to give themselves a better lot in life than the ones
2,to give each other the willies
2,bode well
2,poem
2,a condensed season of TV 's Big Brother
1,Even though the film does n't manage to hit all of its marks
2,dark satire
2,full consciousness
3,LaBute continues to improve .
0,the spell they cast is n't the least bit mesmerizing
3,is honestly
1,Degenerates
2,Sven Wollter as the stricken composer
2,oddly colorful and just plain
4,with tremendous skill
2,for long stretches
2,female bonding
2,popcorn movies
4,of constant smiles and frequent laughter
2,dropped me
2,Germanic version
2,Weissman and Bill Weber
4,Beautiful to watch and holds a certain charm
3,fascinating -- and timely -- content
2,co-writer
2,brass
2,solace
2,Wait for it to hit cable .
2,the man 's theories
2,all this exoticism
2,giving it
2,is so busy
3,remind us of brilliant crime dramas
2,hotter-two-years-ago rap and R&B names
2,the film has a lot more on its mind -- maybe too much
1,generally insulting
0,quickly becomes distasteful and downright creepy
2,are ultimately
2,operates nicely off the element of surprise
0,seems embarrassed by his own invention and
2,loss and denial and
2,skeptics are n't likely to enter the theater
1,the plot remains as guarded as a virgin with a chastity belt
1,suffers from too much Norma Rae and not enough Pretty Woman
2,of personal loss
3,lavish period scenery
2,S&M seems like a strange route to true love
1,this bad
2,is a nicely
2,writing and
3,loves its characters and communicates something rather beautiful
2,prim
2,U.S.
2,one of those vanity projects
2,Alexandre Desplat 's
2,the past decade
1,know we 're not supposed to take it seriously
1,that assumes you are n't very bright
2,a young American
2,a shower
2,this one is
4,The history is fascinating ;
2,biggest shocks
3,glides
1,well to cram earplugs
3,technically sumptuous but also almost wildly alive
2,prevalent on The Rock
2,daydreams
3,upping the ante
4,An impressive hybrid .
3,A marvel of production design
2,Jacqueline
2,his mid-seventies
0,to imagine that even very small children will be impressed by this tired retread
2,keep upping the ante on each other
2,Diesel
2,are smarter
2,trounce its overly comfortable trappings
3,knockout
2,period filmmaking
2,you may ask
1,I 'd rather listen to old Tori Amos records
2,creating adventure out of angst
3,music fans
1,upfront that the plot makes no sense
4,thanks to great performances
1,one whose target demographic is likely still in the single digits
3,always has been remarkable about clung-to traditions
2,Stephen Rea
2,and severe flaws
2,uses some of the figures
1,Comedian runs out of steam after a half hour .
1,does n't so much phone in his performance as fax it .
1,overrun by corrupt and hedonistic weasels
3,helmer
2,older men
2,yourself
1,a scummy ripoff
3,its originality
3,of intellectual lector in contemplation of the auteur 's professional injuries
1,who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance
3,a cute alien creature
2,class Austrian society
2,so completely
2,that does n't know what it wants to be
3,An old-fashioned drama
3,timeless and unique perspective
3,audacious ambitions
2,the casualties of war
3,sneaks up on you
3,delivers fascinating psychological fare
3,great way
2,anonymous attackers
1,this film that may not always work
2,American Adobo
1,carnage and
4,'s a fantastic movie
2,to gel together
2,next Animal House
2,to megaplex screenings
3,headline-fresh thriller
2,so much farcical as sour
1,when it is n't merely offensive
2,was a long
3,guessing at almost every turn
3,a juicy soap opera
3,final surprising shots
3,poignant picture
3,Take nothing seriously and
2,enthusiasms
1,Set in a 1986 Harlem that does n't look much like anywhere in New York .
2,constant bloodshed
2,it 's a taunt - a call for justice for two crimes from which many of us have not yet recovered .
0,did the screenwriters just do a cut-and-paste of every bad action-movie line in history ?
3,its unhurried narrative
2,arrogance
1,seen it all before
3,will turn out okay
4,well-written and occasionally challenging social drama
3,hand in hand
2,referred to as Die Hard on a boat
2,finds itself
2,his most
3,with promise
1,nothing about who he is or who he was before
4,well paced and satisfying
3,is magnetic as Graham
2,Broomfield 's style of journalism is hardly journalism at all
2,he knows how to pose Madonna
3,goes easy on the reel\/real world dichotomy that -LRB- Jaglom -RRB- pursued with such enervating determination in Venice\/Venice .
2,Saturday morning TV
2,Did no one on the set
0,This movie plays like an extended dialogue exercise in Retard 101 .
2,catch Freaks
2,delineate
3,the six-time winner
0,too much exploitation and
2,Amir Mann
3,need movies like Tim McCann 's Revolution No. 9 .
2,be released in this condition
3,to yield some interesting results
3,good-naturedness
1,mostly boring affair
2,the way Chekhov
3,Plays out with a dogged and eventually winning squareness that would make it the darling of many a kids-and-family-oriented cable channel .
1,another clever if pointless excursion
2,Andrei Tarkovsky 's
3,is a successful one .
3,you 're in a slap-happy mood
2,circa 1960
3,a striking new significance for anyone
2,of the comeback curlers
2,acceptable entertainment
2,versus martial arts
2,The Fabulous Stains
2,light on the chills and heavy on the atmospheric weirdness
4,in a way that is surprisingly enjoyable
2,of a torn book jacket
2,slap her creators
2,of my situation
2,you think you are making sense of it
3,for a longtime admirer of his work
3,is a perfect family film to take everyone to since there 's no new `` A Christmas Carol '' out in the theaters this year
2,-LRB- Jack Nicholson 's -RRB- career
2,for the audience
2,Potter
2,unfakable sense
2,turn away
2,than perspicacious
1,Some are fascinating and others are not
2,Uruk-Hai
2,the way that Malkovich was
3,recalls the classics of early Italian neorealism
2,drooling
3,The Cockettes -RRB- provides a window into a subculture hell-bent on expressing itself in every way imaginable . '
3,the highest degree
4,Ms. Hutchins is talented enough and charismatic enough to make us care about Zelda 's ultimate fate .
2,Kurt Vonnegut
2,her petite frame and vulnerable persona
2,these despicable characters
1,wheezy
3,fleetingly interesting actors '
4,star performance
2,minutiae
3,highly pleasurable
2,of such
3,captures an Italian immigrant family on the brink of major changes .
3,this natural grain
2,the entire plot
2,the high life
1,ca n't believe anyone would really buy this stuff .
2,'s one thing to read about or rail against the ongoing - and unprecedented - construction project going on over our heads .
3,it 's actually watchable
0,ca n't recommend it
1,thornier
2,is where Ararat went astray
2,keeping the film
1,have banged their brains into the ground so frequently
2,is a movie that also does it by the numbers .
2,the screenplay level
2,of Margaret Thatcher 's ruinous legacy
1,out on video before month 's end
2,your slave
2,of otherwise respectable action
2,with these characters
2,is not a love letter for the slain rappers
2,21st
3,'s a nice girl-buddy movie
2,KOK
2,Roman Polanski 's autobiographical gesture
2,proceed as the world implodes
1,that 's shapeless and uninflected
2,its casting
2,seems fried in pork .
2,to little insight
2,to us
2,the improbable
2,the least bit romantic and only mildly funny
2,a collection of bits
2,after the final frame
2,Kalvert
2,order
2,next to Nanook
1,grossest
2,over many months
2,my vote
2,much shorter cut
3,elegance
3,inspired ''
2,compulsively
2,is that movie !
2,The author 's devotees
2,to watch if you only had a week to live
2,much that it 's forgivable that the plot feels
2,influences
1,soulless jumble
2,the upper class
3,has clever ways of capturing inner-city life during the Reagan years .
1,we a sick society
2,necessity
2,fright and
2,classic romantic comedy to which it aspires
2,denuded urban living
2,Is This Movie
3,Poignant and
3,bittersweet drama
3,caught but the audience gets pure escapism
2,Hunter fan
3,The film 's final hour
2,long-faced
2,'re looking for a tale of Brits behaving badly
3,a narrative puzzle that interweaves individual stories
3,that captures the innocence and budding demons within a wallflower
2,Danang
1,painful improbability
1,very shapable but largely unfulfilling
3,The Believer is nothing less than a provocative piece of work
3,has its heart -LRB- and its palate -RRB-
1,shameless attempt
2,'s right to raise his own children .
3,A stylish cast and some clever scripting solutions help Chicago make the transition from stage to screen with considerable appeal intact .
3,the feral intensity
1,gets way too mushy -- and in a relatively short amount of time .
2,period drama and flat-out farce
4,was immensely enjoyable thanks to great performances by both Steve Buscemi and Rosario Dawson ...
1,will forgive any shoddy product as long as there 's a little girl-on-girl action
2,Shiner 's
2,delves into the passive-aggressive psychology of co-dependence and the struggle for self-esteem
3,A lively and engaging examination of how similar obsessions can dominate a family
1,has a laundry list of minor shortcomings
2,in IQ
2,daytime TV
2,Despite all the closed-door hanky-panky
2,the general absurdity
3,A hallmark film in an increasingly important film industry and worth the look .
3,every member of the ensemble has something fascinating to do --
0,extremely unpleasant film
2,all round
2,remembered
2,an unexpected direction
3,A low-key labor of love that strikes a very resonant chord .
3,about female friendship that men can embrace and women
3,inside information
2,sight to behold
2,C'mon !
2,Martin Scorsese 's 168-minute Gangs
1,childish
2,to recognize it and deal with it
2,defensible
2,Anne-Sophie Birot 's off-handed way
2,`` familiar ''
3,combustible mixture
2,it 's a tougher picture than it is
3,in-depth portrait
3,Bertrand Tavernier 's oft-brilliant Safe Conduct -LRB- `` Laissez-passer '' -RRB-
2,than your average formulaic romantic quadrangle
2,can read the subtitles -LRB- the opera is sung in Italian -RRB- and
1,too many flashbacks
1,High Crimes carries almost no organic intrigue as a government \/ Marine\/legal mystery
3,brave and challenging
2,to be a trip
2,comes to men
4,hugely enjoyable
0,is n't that Stealing Harvard is a horrible movie -- if only it were that grand a failure !
3,and yet completely familiar
1,been a confusing and horrifying vision
1,processed comedy
2,squanders
2,as Cho may have intended or as imaginative as one might have hoped
2,from all the excesses
1,poking their genitals into fruit pies
2,few movie moment gems
1,-LRB- Orlando Jones -RRB-
3,provides an accessible introduction as well as some intelligent observations on the success of Bollywood in the Western world
2,the symbiotic relationship
3,Personal Velocity
2,'s about family
3,viewed as a self-reflection or cautionary tale
3,is quite a vision .
2,fleet-footed and pleasingly upbeat family
2,use of Aaliyah
3,imagination and authentic Christmas spirit
0,had no effect and elicited no sympathies for any of the characters
2,it 's as sweet as Greenfingers
2,primer
2,there here
1,ring hollow
2,Joel Schumacher
2,The chocolate factory
3,that should appeal to anyone willing to succumb to it
2,the current political climate
2,ends up
2,a film of intoxicating atmosphere and little else
2,live waydowntown
2,what he gets
2,shows the slightest aptitude for acting
3,is painterly
2,a half hour
2,Powers ? ''
2,Scooby
0,a played-out idea -- a straight guy has to dress up in drag -- that shockingly manages to be even worse than its title
1,get you down
2,previous two
4,the ethereal beauty
3,dark and quirky comedy
2,religious and civic virtues
1,threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .
3,remind us
2,become her mother
4,a fascinating part of theater history
0,depressing to see how far Herzog has fallen
0,misfire that even Tunney ca n't save
1,moviegoers not already clad in basic black
2,in which they lived
2,thrusts the inchoate but already eldritch Christian Right propaganda machine into national media circles
3,should bolster director and co-writer
4,Piccoli gives a superb performance full of deep feeling .
2,Hannibal would say
2,as a curmudgeonly British playwright
2,sports bar
4,with a screenplay to die for
2,grow up
3,rare trick
2,Waters-like humor
2,Latino hip hop beat
2,of the cutes
2,anti-war
2,of money
0,wretched
1,'s exactly the kind of movie Toback 's detractors always accuse him of making .
4,have brought back the value and respect for the term epic cinema .
2,Although What Time offers Tsai 's usual style and themes
2,the battery on your watch
1,losing his touch
1,more predictable than their consequences
1,Paramount imprint
3,look ahead and resist living in a past
3,a place in your heart
0,leave you wanting to abandon the theater
3,aesthetic experience
2,minimalist style
2,that forgoes
2,that were it a Macy 's Thanksgiving Day Parade balloon
3,offers all the pleasure of a handsome and well-made entertainment
2,hair design
2,about entrapment in the maze of modern life
4,does justice both to Stevenson and to the sci-fi genre
2,is definitely
0,ends up merely pretentious -- in a grisly sort of way
2,of this one
3,very humble
2,Beating
3,this film is part of that delicate canon
2,One just waits grimly for the next shock without developing much attachment to the characters .
3,evolves
3,a deft pace master
1,Hollywood expects people to pay to see it
2,a plethora
1,their lamentations are pretty much self-centered -RRB-
2,spill
1,DeNiro 's once promising career
2,is no match for the insipid script he has crafted with Harris Goldberg .
2,information
2,the star to play second fiddle to the dull effects that allow the suit to come to life
2,the chilled breath
2,Bluer than the Atlantic and
1,something more recyclable than significant
2,lifeless
2,to anyone not predisposed to the movie 's rude and crude humor
2,an excellent choice for the walled-off but combustible hustler
4,A tremendous piece of work .
1,'s a pretty mediocre family film
2,his usual high melodramatic style of filmmaking
1,contrived sequels
2,could never really
2,drawing to a close
3,A well paced and satisfying little drama that deserved better than a ` direct-to-video ' release
1,a played-out idea
2,It may sound like a mere disease-of - the-week TV movie
2,spoof
2,this little-known story of Native Americans and their role in the second great war
3,it makes up for in heart .
2,conveys the shadow side of the 30-year friendship between two English women
3,Visually striking
2,would require another viewing
2,film adaptation
3,Scoob
1,accumulate like lint in a fat man 's navel .
2,on itself and retreats
0,The emotional overload of female angst irreparably drags the film down .
3,all the mounting tension of an expert thriller
2,in one
2,screwball
3,with imagination
4,that are lean and tough enough to fit in any modern action movie
1,rise above the level of an after-school TV special
1,to bore
2,The catch
3,passionate
3,best actress
2,'s been told by countless filmmakers
2,appearance
2,a drag queen
0,Guilty of the worst sin of attributable to a movie like this : it 's not scary in the slightest .
3,to remember it by
2,the ease
3,a predictably efficient piece
2,if it were subtler
2,What `` Empire '' lacks in depth
1,annoying and
2,tragic
2,the period trappings of this debut venture into the heritage business
2,sacrificed
3,What 's really so appealing about the characters is their resemblance to everyday children .
1,they may be as history
1,as conventional as a Nike ad
2,increasingly pervasive
2,old problems
2,be idling in neutral
2,Aaliyah
3,screenplay or
2,who is also one of the film 's producers
2,little something
1,'s just not much lurking below its abstract surface
2,but something
1,No cliche escapes the perfervid treatment of gang warfare called ces Wild .
0,despairingly awful
1,him a problematic documentary subject
2,Mai
1,when it drags
4,weird and wonderful comedy
4,hilariously wicked black comedy ...
1,familiar and predictable
2,who want to appear avant-garde
3,healthy eccentric inspiration and ambition
1,labored gags
0,utterly incompetent
2,provides .
2,balanced movie
2,It 's just a little too self-satisfied .
2,gave me
2,a sophisticated flower child 's desire to purge the world of the tooth and claw of human power
2,overcome the obstacles of a predictable outcome and a screenplay that glosses over Rafael 's evolution
2,please others
3,Steven Seagal
2,disregard available bias
3,captivating and intimate study
2,suddenly transpose himself into another character
2,directed by H.G. Wells ' great-grandson
4,a genuine love story
2,the New Zealand and Cook Island locations
1,Meandering and confusing .
2,all the dolorous
2,an unsolved murder and
2,the emotional blockage
2,string together
3,the eyes of some children who remain curious about each other against all odds
3,Soderbergh 's Solaris is a gorgeous and deceptively minimalist cinematic tone poem .
2,drowns
2,Comes
2,Director David Jacobson
2,better advantage
2,movie ye
3,it finds a nice rhythm .
2,that too becomes off-putting
1,rather slow
1,this insane
2,a near-future America
2,so many complicated facial expressions
3,A visionary marvel
0,is about as humorous as watching your favorite pet get buried alive
1,'s virtually impossible to like any of these despicable characters .
2,than charming
2,eighth
2,minor shortcomings
0,Each scene wreaks of routine ;
2,American style
2,these twists
2,in the depiction of young women in film
2,outweighs all the loss we
2,is certainly
1,the crime movie equivalent
2,passable date film
2,this summer 's
3,are entitled to take a deep bow for fashioning an engrossing entertainment out of an almost sure-fire prescription for a critical and commercial disaster
3,It 's secondary to American Psycho but still has claws enough to get inside you and stay there for a couple of hours .
2,like a year late
2,of Japanese animation
2,porridge
2,to work out
2,rose-colored situations
2,work-in-progress
2,of ` Deadly Friend
3,The mark of a respectable summer blockbuster
2,American Indians in modern America
3,about the long and eventful spiritual journey of the guru who helped
2,Lucy Liu
2,mechanical
1,11 times too many
2,than the original could ever have hoped to be
2,of pride or shame
2,get into heaven by sending the audience straight to hell .
1,About the Benjamins evokes the bottom tier of blaxploitation flicks from the 1970s .
3,can argue that the debate it joins is a necessary and timely one
2,Cat 's
2,will come up with an original idea for a teen movie
2,is n't the actor to save it
1,any Scorsese
2,glasses
2,succession
2,of satisfied customers
1,so unmemorable
2,charming but
2,manages just
0,only so much baked cardboard
2,Auteuil 's performance
4,refreshingly smart and newfangled
2,'' is the one hour and thirty-three minutes
1,completely wreaked
2,otherworldly energies
4,deliver again and again
2,the expectation
0,bad at a fraction the budget
2,'s Pauly Shore as the rocket scientist
1,brutally clueless
2,conspiratorial
2,and political issues
2,festival film
2,American action
3,us intriguing glimpses of the insights gleaned from a lifetime of spiritual inquiry
1,... keep the movie from ever reaching the comic heights it obviously desired .
3,An unorthodox little film noir organized crime story that includes one of the strangest love stories you will ever see .
1,its empty head
3,presents a fascinating but flawed look at the near future
2,not be swept up in Invincible and overlook its drawbacks
2,later this year
2,Imax movie
1,this kind of material
3,a side of contemporary Chinese life that many outsiders will be surprised to know
2,the phone rings and
2,perhaps more than he realizes
2,Dogtown
3,drama .
2,only bit
2,the ` plex predisposed to like it
2,its sequel
3,is both stimulating and demanding .
2,Hitchcock movie
2,Sandler assault
2,cause
2,a Sandra Bullock vehicle or
2,work better as a real documentary
1,do n't need to try very hard
3,more smarts
2,modern military weaponry
2,over 25
2,Lightweight but
2,to video-viewing
1,underdone potato
1,A listless and desultory affair
2,disguising the obvious
1,the worst in otherwise talented actors
1,the script 's refusal of a happy ending
4,an interesting meditation
4,kids-and-family-oriented
2,be a part of that elusive adult world
4,is terrific as Rachel
1,nowhere fast
3,is a convincing one
2,able to enjoy a mindless action movie
2,observe
3,circa
2,as they determine how to proceed as the world implodes
2,disregard
2,no question
2,a house full of tots
3,discovery and humor between Chaplin and Kidman
2,Or intelligent .
2,Neither a rousing success nor a blinding embarrassment .
1,a hole in your head
2,of the sensibilities of two directors
2,Hatfield and Hicks
2,a copy
2,leave your date behind
2,willingly
2,Not that any of us should be complaining when a film clocks in around 90 minutes these days
2,Steven Spielberg
2,Pelosi
2,rekindle
2,quixotic
2,'re looking to rekindle the magic of the first film
1,watching Disney scrape the bottom of its own cracker barrel
1,'re most likely to find on the next inevitable incarnation of The Love Boat
2,than I had with most of the big summer movies
2,Doorstep
2,to help us
2,I 've seen since Cho 's previous concert comedy film
2,described
1,as a ghost story gone badly awry
1,A really good premise is frittered away in middle-of-the-road blandness .
2,roundelay
2,works in spite of it
2,Clarissa Dalloway
3,flashes of warmth and gentle humor
3,make a person who has lived her life half-asleep suddenly wake up
3,flamboyant mannerisms
1,be punishable by chainsaw
2,at things that explode into flame
2,to feature
2,child coming-of-age theme
2,off Borg Queen Alice Krige 's cape
1,has little insight into the historical period and its artists
0,93 minutes of unrecoverable life
4,having so much fun
2,a muddled drama about coming to terms with death
4,funny little movie
2,to such films as `` All That Heaven Allows '' and `` Imitation of Life
1,distracted
2,have tactfully pretended not to see it and left it lying there
2,60-second homage
2,Asquith 's
0,Bad and baffling
3,wall
2,the young woman 's
4,career-best
3,Lush and beautifully
2,the daily
1,in their recklessness
2,labels .
2,take an unseemly pleasure
1,Comes across as a fairly weak retooling .
3,actually happened as if it were the third ending of Clue
3,entirely wholesome -RRB-
2,-LRB- but not sophomoric -RRB-
1,is a step down for director Gary Fleder
2,special type
1,a manipulative whitewash
2,his earlier film
2,somewhat convenient ending
2,than a run-of-the-mill action
3,roiling black-and-white inspires trembling and gratitude .
2,fidgeted
2,flower-power
2,Narc can only remind us of brilliant crime dramas without becoming one itself .
4,Sex With Strangers is fascinating ...
2,two signs
2,what to do with him
2,Haynes '
3,solid storytelling .
2,souls and
2,boy delving
2,despite the heavy doses of weird performances and direction
2,'s exploitive without being insightful
2,recent decades
2,into sharp slivers and cutting impressions
2,muster
1,dimness
2,the soul
2,more serious-minded concerns
4,created a masterful work of art of their own
1,fatal for a film that relies on personal relationships
2,sheer
3,this script
4,Quaid is utterly fearless as the tortured husband living a painful lie
4,joyous documentary
2,conflicted gay coming-of-age tale
1,a fair share of dumb drug jokes and predictable slapstick
4,an impressive roster of stars and direction
2,Alexander
3,with extra butter
3,Here is a VH1 Behind the Music special that has something a little more special behind it : music that did n't sell many records but helped change a nation .
3,sweet time building
2,two-hour running time
2,to its mockumentary format
2,is every bit as fascinating as it is flawed
2,counterpart
1,his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum
1,mined his personal horrors and
1,gruesome
3,remarkably strong
0,utterly pointless
2,loss and denial and life-at-arm 's - length in the film
2,smart-aleck film school brat
2,Impostor is opening today at a theater near you .
3,empathy
2,Marina
2,the wazoo and sets
3,daft by half ... but
3,comic elements
2,it 's trying to say
2,Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share
2,the element of surprise
1,its awkward structure
0,like a bad idea from frame one
2,borrows a bit from the classics `` Wait Until Dark '' and `` Extremities ''
3,everyone 's
2,a few remarks
2,for the extreme sports generation
1,Jagjit
1,is akin to a Reader 's Digest condensed version of the source material .
2,to be a different kind of film
1,disconnects every 10 seconds
2,been crisper and punchier
2,sturm
1,only unsatisfactorily
3,'s Black Hawk Down with more heart .
3,for controversy
1,patched in from an episode of Miami Vice
2,Mr. Zhang 's subject matter
2,Sopranos gags
2,indicate
2,neither is it a monsterous one
2,to her scenes
1,has you fixating on a far corner of the screen at times because your nerves just ca n't take it any more
2,scooter chases
2,A harrowing account of a psychological breakdown
2,running for office -- or
1,on no level whatsoever for me
1,in thick clouds of denial
3,of the hilarious writer-director himself
3,good guys and
3,A chilling movie
2,is not a stereotypical one of self-discovery
3,shaped the story to show us why it 's compelling
2,golf clubs over one shoulder
3,many ways the perfect festival film
3,are committed
2,-LRB- Herzog 's -RRB-
1,to squeeze out some good laughs but not enough to make this silly con job sing
3,introspective and
2,its fair share
2,of films like Kangaroo Jack about to burst across America 's winter movie screens
2,Upper Teens
2,Sling
2,Rifkin 's references
3,but utterly delightful .
2,people
3,celebrated
2,of everything else
2,Yellow Asphalt
2,democracy and civic action laudable
2,A baffling subplot involving smuggling drugs inside Danish cows falls flat
2,A thought-provoking
2,sparkles with the the wisdom and humor of its subjects
4,is a tale worth catching .
2,Arthur Dong 's Family Fundamentals
1,is never quite able
2,and wrestling fans
1,bringing a barf bag to the moviehouse
2,in alienating most viewers
1,A sentimental mess that never
2,roles
2,its makers
2,Zelda 's
1,without doing all that much to correct them
2,are enough high points to keep this from being a complete waste of time
2,a 15-year old
2,Ralph Fiennes and
2,of flavor and spice
1,a smear
2,much stranger
2,Finally
1,that it plays like the standard made-for-TV movie .
2,of the whole family
2,The Saigon of 1952
2,Israeli\/Palestinian
2,the cultural moat
2,from male persona to female
0,The script was reportedly rewritten a dozen times -- either 11 times too many or else too few .
1,mostly boring
2,fails to make adequate
2,its jerky hand-held camera and documentary feel
1,sloppy slapstick
2,computer-animated faces
3,the Saturday morning cartoons
3,generally light enough
2,The original was n't a good movie but this remake makes it look like a masterpiece
4,has found the perfect material with which to address his own World War II experience in his signature style .
1,never overcomes its questionable satirical ambivalence
1,past Love Story derisions
2,the media
1,is just SOOOOO tired .
2,produce any real transformation
2,taking John Carpenter 's Ghosts of Mars
2,ecological balance
1,turgid
2,give a backbone
2,spinning styx
2,that argue that any sexual relationship that does n't hurt anyone and works for its participants is a relationship that is worthy of our respect
2,and Cook Island locations
2,it a monsterous one
2,deleting emotion from people
2,the original version
3,families and church meetings
1,devastation
2,X-Files episode
4,Pacino is the best he 's been in years and
2,to Benigni
1,Collapses under its own meager weight
3,call the film ` refreshing
3,put on an intoxicating show .
2,persecuted ``
2,ride .
2,right now
2,the most unexpected material
2,claw
2,ineptly
3,The footage of the rappers at play and the prison interview with Suge Knight are just two of the elements that will grab you .
2,a minute idea
0,is why I have given it a one-star rating
3,unexpectedly giddy viewing
1,is never quite able to overcome the cultural moat surrounding its ludicrous and contrived plot
1,An uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection
2,All the small moments and
2,their fair shot
2,complexly
2,descriptions
2,parrot
3,York intelligentsia
1,the stomach-turning violence
2,replace
3,how interesting and likable
1,narcissism and self-congratulation
1,Rosenthal -LRB- Halloween II -RRB-
4,a true talent
2,in the auditorium
2,taking insane liberties
2,put together
1,disorientated
1,some sort of Martha Stewart decorating program run amok
2,in 1899
2,except that it would have worked so much better dealing in only one reality
3,gorgeous and deceptively minimalist
2,science-fiction horror film
3,the punk kids ' revolution
3,bring out joys in our lives
2,journalistic or
2,zest
1,limp biscuit
3,retro uplifter .
3,far more witty
2,face needed to carry out a Dickensian hero
2,other kind
0,found the movie as divided against itself as the dysfunctional family it portrays .
2,Proof of this is Ballistic : Ecks vs. Sever .
2,the West to savor whenever the film 's lamer instincts are in the saddle
2,missed anything
3,impressively delicate range
2,As each of them searches for their place in the world
3,consummate
2,then
2,stave
2,no unforgettably stupid stunts or
2,of Revolution OS
2,never lets up
2,actorish notations
1,scenario that will give most parents pause ...
2,a little too much resonance
2,a hollow tribute
3,better entertainment
1,the point of real interest - -- audience sadism
2,pointing
2,had expected
2,dilettante
1,There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up ;
4,does such a good job of it that Family Fundamentals gets you riled up
1,overly old-fashioned
2,the Hollywood pipeline
2,centered on the life experiences of a particular theatrical family
2,a document about him
3,insane comic undertaking
2,stripped-down dramatic constructs
2,sports a ` topless tutorial service
2,coming-of-age
2,In the book-on-tape market
2,usually associated with the better private schools
2,under
2,central character
1,if only it were that grand a failure
2,Mary-Louise
3,a few gut-busting laughs
2,'s simply
3,Hoffman 's powerful acting clinic
2,something 's happening
0,sad sack
2,from being simpleminded
2,intended to be a different kind of film
1,is too long with too little going on .
1,proves that it 's easier to change the sheets than to change hackneyed concepts when it comes to dreaming up romantic comedies
2,the sloppy slapstick comedy
1,The fact that the ` best part ' of the movie comes from a 60-second homage to one of Demme 's good films does n't bode well for the rest of it .
2,the firebrand
1,that so many people put so much time and energy into this turkey
2,involves
2,movies like Ghost Ship will be used as analgesic balm for overstimulated minds .
1,the shameless self-caricature
3,is the director 's talent .
2,may feel compelled to watch the film twice or pick up a book on the subject .
2,tonal transformation
2,rat burger
2,much further
3,thoroughly winning flight of revisionist fancy .
2,highway patrolman
2,that Epps scores once or twice
2,does for rain
3,for humor and bite
2,too-extreme-for-TV rendition
1,from movies with giant plot holes
2,was it all for
2,by Behan
2,in regards
2,those farts
2,now middle-aged participants
2,that almost seems like a documentary in the way
3,Bogdanovich ties it together with efficiency and an affection for the period
1,indifferent
2,in common
2,primal
3,A sometimes incisive and sensitive portrait
4,A moving and weighty depiction
2,a severe case
1,on its own self-referential hot air
2,with an emotional wallop
3,see over and over again
3,the subtle direction
3,a goofy energy
0,to convince the audience that these brats will ever be anything more than losers
3,the grandeur of the best Next Generation episodes
3,this animated adventure
2,to the conflicted complexity of his characters
1,collapses
2,is obviously a labour of love so Howard appears to have had free rein to be as pretentious as he wanted
2,a silly -LRB- but not sophomoric -RRB- romp through horror and hellish conditions
2,flesh-and-blood
2,gurus and
2,to engage children emotionally
2,as a movie-industry satire
4,a fun adventure movie
2,none of them
2,a salt-of-the-earth mommy
3,cheery and
2,little more
2,visual motifs
2,it does because of the performances
1,for the ridicule factor
2,John Malkovich
3,the end it 's as sweet as Greenfingers
2,clashing
3,of extremely talented musicians
3,lasting images
2,the start and finish
2,at contemporary southern adolescence
1,gone badly awry
2,are they
2,motionless
2,historic legal battle
4,Enticing and often funny documentary
2,erects
